ID,Centrality,Optimality,Node,Module
FPGS4mNeuron,0.5517805118015765,7.023513908257123e-16,Neuron,Central
FPGS4mNeuron,0.5517805118015765,7.023513908257123e-16,Neuron,Central
FPGS5mNeuron,0.5170970024623011,1.2813167265063668e-16,Neuron,Central
FPGS5mNeuron,0.5170970024623011,1.2813167265063668e-16,Neuron,Central
FPGS5mNeuron,0.5170970024623011,1.2813167265063668e-16,Neuron,Central
FPGS6mNeuron,0.5423527723403314,2.3728087527895682e-17,Neuron,Central
FPGS6mNeuron,0.5423527723403314,2.3728087527895682e-17,Neuron,Central
FPGS6mNeuron,0.5423527723403314,2.3728087527895682e-17,Neuron,Central
FPGS7mNeuron,0.5188828677610912,0,Neuron,Central
FPGS7mNeuron,0.5188828677610912,0,Neuron,Central
FPGS7mNeuron,0.5188828677610912,0,Neuron,Central
FPGS8mNeuron,0.526697201279841,6.074390407141295e-16,Neuron,Central
FPGS8mNeuron,0.526697201279841,6.074390407141295e-16,Neuron,Central
FPGS8mNeuron,0.526697201279841,6.074390407141295e-16,Neuron,Central
FPGS9mNeuron,0.5423529231163996,0,Neuron,Central
FPGS9mNeuron,0.5423529231163996,0,Neuron,Central
FPGS9mNeuron,0.5423529231163996,0,Neuron,Central
FPGSmNeuron,0.5289297522051349,9.491235011158273e-17,Neuron,Central
FPGSmNeuron,0.5289297522051349,9.491235011158273e-17,Neuron,Central
FTHFLmNeuron,0.09641639422801754,6.601044655563766e-16,Neuron,Central
FTHFLmNeuron,0.09641639422801754,6.601044655563766e-16,Neuron,Central
FTHFLmNeuron,0.09641639422801754,6.601044655563766e-16,Neuron,Central
G5SDymNeuron,0.46716259441155356,9.965796761716188e-17,Neuron,Central
GLU5KmNeuron,0.04039741472850429,0,Neuron,Central
GLUTCOADHmNeuron,0.5648536796051123,6.026934232085503e-16,Neuron,Central
GLYATmNeuron,0.02106543163310118,0,Neuron,Central
GLYOXmNeuron,0.521338895423824,0.2816417527133567,Neuron,Central
GLYOXmNeuron,0.521338895423824,0.2816417527133567,Neuron,Central
H2OtmNeuron,0.23155061818372816,0.887340820938889,Neuron,Central
H2OtmNeuron,0.23155061818372816,0.887340820938889,Neuron,Central
HPROxmNeuron,0.48000837426479115,0,Neuron,Central
LYStmNeuron,0.6162776565205632,1.2338605514505756e-16,Neuron,Central
MMSAD1mNeuron,0.10934867899382078,0.17911629030497628,Neuron,Central
MMSAD3mNeuron,0.10359331475918582,9.111585610711943e-16,Neuron,Central
MTHFCmNeuron,0.5283777150473619,4.275692077829989e-16,Neuron,Central
MTHFCmNeuron,0.5283777150473619,4.275692077829989e-16,Neuron,Central
MTHFDmNeuron,0.02145444990495342,9.65388116445886e-16,Neuron,Central
MTHFDmNeuron,0.02145444990495342,9.65388116445886e-16,Neuron,Central
NMNATmNeuron,0.5048787311964592,0.29686681418410393,Neuron,Central
NNATmNeuron,0.47895428807107393,6.738776857922374e-16,Neuron,Central
ORNt3mNeuron,0.606467645430616,2.847370503347482e-17,Neuron,Central
ORNt4mNeuron,0.618331812467068,5.694741006694964e-17,Neuron,Central
P45011A1mNeuron,0.6401058904025825,0.2968668141841053,Neuron,Central
P5CDmNeuron,0.5607482881320363,2.3728087527895682e-17,Neuron,Central
PHCDmNeuron,0.5342544712995075,2.3728087527895682e-17,Neuron,Central
PRO1xmNeuron,0.46372990825322,6.54895215769921e-16,Neuron,Central
PROD2mNeuron,0.5275027373715799,0.15069627744127198,Neuron,Central
PROD2mNeuron,0.5275027373715799,0.15069627744127198,Neuron,Central
PYRt2mNeuron,0.617768029323684,0.4083399935410395,Neuron,Central
SACCD3mNeuron,0.5347704988884466,2.7999143282916905e-16,Neuron,Central
SACCD4mNeuron,0.5423932520273176,2.3728087527895682e-17,Neuron,Central
SSALxmNeuron,0.5448209796560715,9.39632266104669e-16,Neuron,Central
NH3tmNeuron,0.6309885617266977,0.2551643238024936,Neuron,Central
UREAtmNeuron,0.04563967268285769,0,Neuron,Central
UREAtmNeuron,0.04563967268285769,0,Neuron,Central
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,Neuron,Hyper
ACACt2mNeuron,0.623813331161634,1.2338605514505756e-16,Neuron,Hyper
ACCOALmNeuron,0.14963120123664345,3.0371952035706474e-16,Neuron,Hyper
ACCOALmNeuron,0.14963120123664345,3.0371952035706474e-16,Neuron,Hyper
ACSmNeuron,0.06786449591600757,0.3716638157312585,Neuron,Hyper
ACSmNeuron,0.06786449591600757,0.3716638157312585,Neuron,Hyper
ACt2mNeuron,0.6076942349989459,2.847370503347482e-17,Neuron,Hyper
BTNt2Neuron,0.1273593164257262,9.183942876889191e-16,Neuron,Hyper
BTNt2mNeuron,0.6087027759543957,7.118426258368705e-18,Neuron,Hyper
BTNt2mNeuron,0.6087027759543957,7.118426258368705e-18,Neuron,Hyper
D-LACtmNeuron,0.6020573404325112,9.491235011158273e-18,Neuron,Hyper
HMGCOASimNeuron,0.5551086574529607,0.40833999354103967,Neuron,Hyper
HMGCOASimNeuron,0.5551086574529607,0.40833999354103967,Neuron,Hyper
PIt2mNeuron,0.7185261320851423,0.8581238802303918,Neuron,Hyper
PYRt2mNeuron,0.617768029323684,0.4083399935410395,Neuron,Hyper
THD1mNeuron,0.6742539965609694,0.4083399935410394,Neuron,Hyper
1a2425VITD2Hm,0.7242756702738036,0.2545083847575639,Astrocyte,Optimal
1a2425VITD3Hm,0.724275670274329,0.2545083847575639,Astrocyte,Optimal
1a25VITD2Hm,0.7242756702753971,0.2545083847575639,Astrocyte,Optimal
1a25VITD3Hm,0.7242756702730215,0.2545083847575639,Astrocyte,Optimal
2425VITD2Hm,0.7233015290811406,0.39035911036230603,Astrocyte,Optimal
2425VITD3Hm,0.7233015768465058,0.39035911036230603,Astrocyte,Optimal
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Optimal
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Optimal
ACt2m,0.8816335140467841,1.423685251673738e-17,Astrocyte,Optimal
AKGDm,0.11524559263984738,0.22982072105350096,Astrocyte,Optimal
ALCD2yf,0.08666290610504329,0.3461492786152283,Astrocyte,Optimal
ALR,0.09331240632885975,0.3815111982957976,Astrocyte,Optimal
BTNt2,0.08297942012383727,7.213338608480288e-15,Astrocyte,Optimal
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Optimal
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Optimal
COQ7m,0.7197401084788662,0.3270868227758046,Astrocyte,Optimal
CYSO,0.08900933012228462,0.27304594386917835,Astrocyte,Optimal
D-LACtm,0.8729056923089553,1.423685251673738e-17,Astrocyte,Optimal
DGNSKm,0.7405848303497873,0.3175359391462746,Astrocyte,Optimal
ETOHMO,0.09939426283160982,0.34614927861522843,Astrocyte,Optimal
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Optimal
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Optimal
FPGS2m,0.7198893629712224,1.3762290766179498e-16,Astrocyte,Optimal
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Optimal
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Optimal
FPGS3m,0.7342161825793763,1.423685251673741e-17,Astrocyte,Optimal
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Optimal
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Optimal
FPGS4m,0.7435718665404528,5.504916306471799e-16,Astrocyte,Optimal
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Optimal
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Optimal
FPGS5m,0.710206602335634,1.0487814687329894e-15,Astrocyte,Optimal
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Optimal
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Optimal
FPGS6m,0.734216027744249,1.0487814687329894e-15,Astrocyte,Optimal
FPGS7m,0.7114057982569254,0,Astrocyte,Optimal
FPGS7m,0.7114057982569254,0,Astrocyte,Optimal
FPGS7m,0.7114057982569254,0,Astrocyte,Optimal
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Optimal
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Optimal
FPGS8m,0.7198781520193068,0.25450838475756304,Astrocyte,Optimal
FPGS9m,0.7342161824041843,0,Astrocyte,Optimal
FPGS9m,0.7342161824041843,0,Astrocyte,Optimal
FPGS9m,0.7342161824041843,0,Astrocyte,Optimal
FPGSm,0.716511147952393,5.504916306471799e-16,Astrocyte,Optimal
FPGSm,0.716511147952393,5.504916306471799e-16,Astrocyte,Optimal
GLCt2r,0.16545479949792355,0.717722970916663,Astrocyte,Optimal
GLNS,0.10451252142875422,0.25516432380248727,Astrocyte,Optimal
GLYOXm,0.7142990972453503,0.2816417527133569,Astrocyte,Optimal
GLYOXm,0.7142990972453503,0.2816417527133569,Astrocyte,Optimal
GND,0.1152952832166447,0.41270566661342056,Astrocyte,Optimal
GTHOm,0.5842166357354408,0.25450838475756465,Astrocyte,Optimal
GTHOm,0.5842166357354408,0.25450838475756465,Astrocyte,Optimal
H2Otm,0.24379756340914427,2.4470664742577602e-14,Astrocyte,Optimal
H2Otm,0.24379756340914427,2.4470664742577602e-14,Astrocyte,Optimal
L-LACtm,0.873657550863863,0.2316318208042137,Astrocyte,Optimal
LDHLm,0.6171492926085196,6.169302757252878e-17,Astrocyte,Optimal
LDHLm,0.6171492926085196,6.169302757252878e-17,Astrocyte,Optimal
MMSAD1m,0.10020284209697176,0.30858520349919577,Astrocyte,Optimal
MMSAD3m,0.10594478833081925,0.03098273041885492,Astrocyte,Optimal
NH4t3r,0.09493871690495241,2.8822192264548878e-15,Astrocyte,Optimal
PYRt2m,0.8845002578341493,3.1795637287379933e-16,Astrocyte,Optimal
NH3tm,0.906897728995234,1.7854642456557065e-14,Astrocyte,Optimal
LacLtm,0.004366223892417056,0.21515060286482135,Astrocyte,Optimal
UREAtm,0.11901756766866169,0,Astrocyte,Optimal
UREAtm,0.11901756766866169,0,Astrocyte,Optimal
BTNt2Int,0.07738290523603182,0.15733754037239153,Astrocyte,Optimal
GLCt2rInt,0.10415143484004467,0.717722970916663,Astrocyte,Optimal
H2OtInt,0.0266526148425009,3.740083834113703e-18,Astrocyte,Optimal
NH4t3rInt,0.08111991872554329,0.25516432380249354,Astrocyte,Optimal
1a2425VITD2Hm,0.7242756702738036,0.2545083847575639,Astrocyte,Central
1a2425VITD3Hm,0.724275670274329,0.2545083847575639,Astrocyte,Central
1a25VITD2Hm,0.7242756702753971,0.2545083847575639,Astrocyte,Central
1a25VITD3Hm,0.7242756702730215,0.2545083847575639,Astrocyte,Central
2425VITD2Hm,0.7233015290811406,0.39035911036230603,Astrocyte,Central
2425VITD3Hm,0.7233015768465058,0.39035911036230603,Astrocyte,Central
3HBCOAHLm,0.7986986365397388,2.4202649278454607e-16,Astrocyte,Central
4HGLSDm,0.756458153014876,2.847370503347482e-17,Astrocyte,Central
AASAD3m,0.7615864525980203,0.05294369411532057,Astrocyte,Central
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Central
ACACt2m,0.8934342089789646,1.423685251673738e-17,Astrocyte,Central
ACCOALm,0.21791537010471831,6.074390407141295e-16,Astrocyte,Central
ACCOALm,0.21791537010471831,6.074390407141295e-16,Astrocyte,Central
ACSm,0.06779474544272841,0,Astrocyte,Central
ACSm,0.06779474544272841,0,Astrocyte,Central
ACt2m,0.8816335140467841,1.423685251673738e-17,Astrocyte,Central
AGPRim,0.6235612241210652,1.423685251673741e-17,Astrocyte,Central
ARGtm,0.8867274115536896,4.033774879742269e-17,Astrocyte,Central
BETALDHxm,0.7604480529320933,9.491235011158273e-18,Astrocyte,Central
BTNt2,0.08297942012383727,7.213338608480288e-15,Astrocyte,Central
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Central
BTNt2m,0.8843481374721237,2.845094663209406e-32,Astrocyte,Central
