,rxns
26275,"['3HBCOAHLm_Neuron', '3HBCOAHLm']"
10165,"['3SALAASPm', 'GLUt2m', 'ASPGLUm', '3SALAASPm_Neuron', 'ASPGLUm_Neuron', 'GLUt2m_Neuron']"
8604,"['3SALAASPm', 'GLUt2m', 'ASPGLUm', '3SALAASPm_Neuron', 'ASPGLUm_Neuron', 'GLUt2m_Neuron']"
2806,"['LCYSTATm', 'ASPTAm_Neuron', 'EHGLATm', 'PHETA1m', 'TYRTAm_Neuron', 'EHGLATm_Neuron', 'ASPTAm', 'EHGLAT2m_Neuron', '3SALATAim_Neuron', 'CYSTAm', 'CYSTAm_Neuron', '3SALATAim', 'PHETA1m_Neuron', 'TYRTAm', 'LCYSTATm_Neuron', 'EHGLAT2m']"
8659,"['GCALDDm', 'BAMPPALDOXm_Neuron', 'GCALDDm_Neuron', 'LCADim', 'PHCDm_Neuron', 'LCADim_Neuron', 'P5CDm_Neuron', 'GLACOm', 'GLACOm_Neuron', 'IMACTD_m_Neuron', 'ALDD20xm', 'HPROxm_Neuron', '5HOXINDACTOXm_Neuron', 'LCADi_Dm_Neuron', 'BAMPPALDOXm', 'LCADi_Dm', 'NABTNOm_Neuron', '4HGLSDm_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', 'PHCDm', '5HOXINDACTOXm', 'ALDD20xm_Neuron', '4HGLSDm', 'IMACTD_m', 'PYLALDOXm', 'HPROxm', 'P5CDm']"
219,"['GCALDDm', 'BAMPPALDOXm_Neuron', 'GCALDDm_Neuron', 'LCADim', 'LCADim_Neuron', 'GLACOm', 'GLACOm_Neuron', 'IMACTD_m_Neuron', 'ALDD2xm_Neuron', 'ALDD20xm', '5HOXINDACTOXm_Neuron', 'LCADi_Dm_Neuron', 'BAMPPALDOXm', 'LCADi_Dm', 'NABTNOm_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', '5HOXINDACTOXm', 'ALDD20xm_Neuron', 'PYLALDOXm', 'IMACTD_m', 'ALDD2xm']"
217,"['GCALDDm', 'BAMPPALDOXm_Neuron', 'GCALDDm_Neuron', 'LCADim', 'LCADim_Neuron', 'GLACOm', 'GLACOm_Neuron', 'IMACTD_m_Neuron', 'ALDD2xm_Neuron', 'ALDD20xm', '5HOXINDACTOXm_Neuron', 'LCADi_Dm_Neuron', 'BAMPPALDOXm', 'LCADi_Dm', 'NABTNOm_Neuron', 'PYLALDOXm_Neuron', 'NABTNOm', '5HOXINDACTOXm', 'ALDD20xm_Neuron', 'PYLALDOXm', 'IMACTD_m', 'ALDD2xm']"
65985,"['AACOAT_Neuron', 'AACOAT']"
8639,"['AACTOOR_Neuron', 'AACTOOR']"
60496,"['AASAD3m_Neuron', 'AASAD3m']"
51166,"['AATAi_Neuron', 'AATAi']"
206358,"['ABUTt2r', 'GLYt2r', 'PROt2r_Int', 'ABUTt2r_Int', 'PROt2r_Neuron', 'PROt2r', 'ABUTt2r_Neuron', 'GLYt2r_Int']"
38,"['ACACT1rm', 'ACACT10m_Neuron', 'ACACT10m', 'ACACT1rm_Neuron']"
39,"['ACACT1r', 'ACACT1r_Neuron']"
3030,"['ACACT1rm', 'HACD1m_Neuron', 'T2M26DCOAHLm', 'HACD1m', 'PRPNCOAHYDm_Neuron', 'C2M26DCOAHLm', 'ECOAH9m_Neuron', 'T2M26DCOAHLm_Neuron', 'ACACT1rm_Neuron', 'ECOAH12m', 'ECOAH1m', 'PRPNCOAHYDm', 'C2M26DCOAHLm_Neuron', 'ECOAH9m', 'ECOAH1m_Neuron', 'ECOAH12m_Neuron']"
3032,"['ACACT1rm', 'HACD1m_Neuron', 'T2M26DCOAHLm', 'HACD1m', 'PRPNCOAHYDm_Neuron', 'C2M26DCOAHLm', 'ECOAH9m_Neuron', 'T2M26DCOAHLm_Neuron', 'ACACT1rm_Neuron', 'ECOAH12m', 'ECOAH1m', 'PRPNCOAHYDm', 'C2M26DCOAHLm_Neuron', 'ECOAH9m', 'ECOAH1m_Neuron', 'ECOAH12m_Neuron']"
6566,"['L-LACt2r_Int', 'ACACt2_Int', 'BTNt2_Neuron', 'PYRt2r_Neuron', 'ACACt2', 'D-LACt2', 'L-LACt2r', 'PYRt2r', 'ACACt2_Neuron', 'L-LACtm_Neuron', 'PYRt2m_Neuron', 'BTNt2_Int', 'D-LACtm', 'D-LACt2_Neuron', 'BTNt2m_Neuron', 'D-LACt2_Int', 'PYRt2r_Int', 'ACACt2m_Neuron', 'L-LACt2r_Neuron', 'BTNt2', 'D-LACtm_Neuron', 'L-LACtm', 'PYRt2m', 'ACACt2m', 'BTNt2m']"
9194,"['L-LACt2r_Int', 'D-LACt2_Int', 'ACACt2_Int', 'PYRt2r_Int', 'L-LACt2r_Neuron', 'PYRt2r_Neuron', 'PYRt2r', 'D-LACt2', 'L-LACt2r', 'ACACt2', 'L-LACtm', 'ACACt2_Neuron', 'L-LACtm_Neuron', 'D-LACt2_Neuron']"
84532,"['ACCOALm', 'ACSm_Neuron', 'ACSm', 'ACCOALm_Neuron']"
34,"['ACOAD10m_Neuron', 'ACOAD1fm_Neuron', 'ACOAD1fm', 'ACOAD9m', 'ACOAD10m', 'PPCOAOm_Neuron', 'ACOAD9m_Neuron', 'PPCOAOm']"
36,"['ACOAD10m_Neuron', 'ACOAD10m', 'PPCOAOm_Neuron', 'PPCOAOm', 'ACOAD1fm_Neuron', 'ACOAD1fm']"
28976,"['PPCOAOm_Neuron', 'PPCOAOm', 'ACOAD1fm_Neuron', 'ACOAD1fm']"
