,rxns
275,"['GCC2cm', 'GCC2bim', 'GCCcm', 'GCCbim_Neuron', 'GCC2bim_Neuron', 'GCCam_Neuron', 'GCCcm_Neuron', 'GCCbim', 'GCC2cm_Neuron', 'GCC2am_Neuron', 'GCC2am', 'GCCam']"
2731,"['GCC2cm', 'GCC2bim', 'GCCcm', 'GCCbim_Neuron', 'GCC2bim_Neuron', 'GCCam_Neuron', 'GCCcm_Neuron', 'GCCbim', 'GCC2cm_Neuron', 'GCC2am_Neuron', 'GCC2am', 'GCCam']"
2653,"['GCC2cm', 'GCC2bim', 'GCCcm', 'GCCbim_Neuron', 'GCC2bim_Neuron', 'GCCam_Neuron', 'GCCcm_Neuron', 'GCCbim', 'GCC2cm_Neuron', 'GCC2am_Neuron', 'GCC2am', 'GCCam']"
6472,"['GHMT2rm', 'GHMT3m', 'GHMT3m_Neuron', 'GHMT2rm_Neuron']"
6513,"['GLCt1r_Neuron', 'GLCt1r']"
56606,"['GLCt1r_Neuron', 'GLCt1r']"
6515,"['GLCt1r_Neuron', 'GLCt1r']"
29988,"['GLCt1r_Neuron', 'GLCt1r']"
11182,"['GLCt1r_Neuron', 'GLCt1r']"
154091,"['GLCt1r_Neuron', 'GLCt1r']"
81031,"['GLCt1r_Neuron', 'GLCt1r']"
66035,"['GLCt1r_Neuron', 'GLCt1r']"
6524,"['GLCt2r_Int', 'GLCt2r']"
2752,['GLNS']
2746,"['GLUDym_Neuron', 'GLUDym', 'GLUDxm_Neuron', 'GLUDxm']"
2747,"['GLUDym_Neuron', 'GLUDym', 'GLUDxm_Neuron', 'GLUDxm']"
2744,"['GLUNm', 'GLUNm_Neuron']"
27165,"['GLUNm', 'GLUNm_Neuron']"
2639,"['GLUTCOADHm_Neuron', 'GLUTCOADHm']"
246213,"['GLUVESSEC', 'GLUVESSEC_Neuron']"
57030,"['GLUVESSEC', 'GLUVESSEC_Neuron']"
57084,"['PIt7_Neuron', 'PIt7', 'GLUVESSEC', 'PIt7_Int', 'GLUVESSEC_Neuron']"
79751,"['GLUt2m', 'GLUt2m_Neuron']"
83733,"['GLUt2m', 'GLUt2m_Neuron']"
6512,"['GLUt6', 'GLUt6_Int']"
6507,"['GLUt6', 'GLUt6_Int']"
6511,"['GLUt6', 'GLUt6_Int']"
6505,"['GLUt6', 'GLUt6_Int']"
6506,"['GLUt6', 'GLUt6_Int']"
9380,"['GLYCLTDym', 'GLYCLTDym_Neuron']"
2712,"['GLYKm', 'GLYKm_Neuron']"
2710,"['GLYKm', 'GLYKm_Neuron']"
2713,"['GLYKm', 'GLYKm_Neuron']"
3029,"['GLYOXm', 'GLYOXm_Neuron']"
5226,"['GND_Neuron', 'GND']"
2936,"['GTHOm_Neuron', 'GTHOm']"
2879,"['GTHPm', 'GTHPm_Neuron']"
10935,"['GTHPm', 'GTHPm_Neuron']"
11238,"['H2CO3Dm', 'H2CO3Dm_Neuron']"
361,"['H2Ot_Neuron', 'H2Ot', 'H2Ot_Int']"
366,"['NH3tm', 'H2Otm', 'H2Otm_Neuron', 'NH3tm_Neuron', 'UREAtm', 'UREAtm_Neuron', 'LacLtm']"
3028,"['HACD9m', 'HACD9m_Neuron', 'HACD1m_Neuron', 'HACD1m']"
3033,"['HACD1m_Neuron', 'HACD1m']"
27235,"['HBZOPT10m', 'HBZOPT10m_Neuron']"
3098,"['HEX1_Neuron', 'HEX1']"
2645,"['HEX1_Neuron', 'HEX1']"
80201,"['HEX1_Neuron', 'HEX1']"
3099,"['HEX1_Neuron', 'HEX1']"
11112,"['HIBDm', 'HIBDm_Neuron']"
3145,"['HMBS', 'HMBS_Neuron']"
3158,"['HMGCOASim_Neuron', 'HMGCOASim']"
54511,"['HMGLm', 'HMGLm_Neuron']"
7352,"['Htm_Neuron', 'Htm']"
9016,"['Htm_Neuron', 'Htm']"
9481,"['Htm_Neuron', 'Htm']"
3421,"['ICDHxm_Neuron', 'ICDHxm']"
3420,"['ICDHxm_Neuron', 'ICDHxm']"
3419,"['ICDHxm_Neuron', 'ICDHxm']"
3418,"['ICDHyrm', 'ICDHyrm_Neuron']"
586,"['LEUTA', 'VALTA', 'ILETA', 'ILETA_Neuron', 'VALTA_Neuron', 'LEUTA_Neuron']"
587,"['LEUTAm_Neuron', 'VALTAm', 'ILETAm_Neuron', 'LEUTAm', 'VALTAm_Neuron', 'ILETAm']"
8802,"['SUCOAS1m_Neuron', 'SUCOASm', 'MECOALm_Neuron', 'MECOAS1m_Neuron', 'MECOALm', 'ITCOAL1m_Neuron', 'SUCOAS1m', 'SUCOASm_Neuron', 'ITCOAL1m', 'ITCOALm_Neuron', 'ITCOALm', 'MECOAS1m']"
8801,"['SUCOAS1m_Neuron', 'ITCOAL1m', 'MECOAS1m_Neuron', 'ITCOAL1m_Neuron', 'SUCOAS1m', 'MECOAS1m']"
8803,"['ITCOALm', 'ITCOALm_Neuron', 'SUCOASm', 'MECOALm_Neuron', 'MECOALm', 'SUCOASm_Neuron']"
160287,"['LDH_L', 'LDH_L_Neuron']"
3945,"['LDH_L', 'LDH_L_Neuron']"
3939,"['LDH_L', 'LDH_Lm', 'LDH_L_Neuron', 'LDH_Lm_Neuron']"
3948,"['LDH_L', 'LDH_L_Neuron']"
56922,"['MCCCrm', 'MCCCrm_Neuron']"
64087,"['MCCCrm', 'MCCCrm_Neuron']"
4190,"['MDH_Neuron', 'MDH']"
4191,"['MDHm_Neuron', 'SLDxm_Neuron', 'SLDxm', 'MDHm']"
23417,"['MMCDm_Neuron', 'MMCDm']"
84693,"['MMEm', 'MMEm_Neuron']"
4594,"['MMMm_Neuron', 'MMMm']"
55967,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4537?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4710,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4726,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4717,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4539?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
7991?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4536?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4712,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4708?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4707?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4713,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4706,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4724,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4711,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
51079,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4698,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4716?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4731?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4723,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4540?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4694,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4715,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4718,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4535?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4695,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4722,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
126328?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4704,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4700,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4725?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4729,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4705,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4701,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
374291,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4697,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4702,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4709?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4696?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4541?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4728,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4719,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4538?,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4720,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4714,"['NADH2-u10m', 'NADH2-u10m_Neuron']"
4833,"['NDPK4m_Neuron', 'NDPK5m', 'NDPK2m_Neuron', 'NDPK8m_Neuron', 'NDPK1m_Neuron', 'NDPK5m_Neuron', 'NDPK6m', 'NDPK9m_Neuron', 'NDPK3m', 'NDPK6m_Neuron', 'NDPK7m', 'NDPK10m', 'NDPK2m', 'NDPK4m', 'NDPK9m', 'NDPK10m_Neuron', 'NDPK7m_Neuron', 'NDPK8m', 'NDPK1m', 'NDPK3m_Neuron']"
57127,"['NH4t3r_Int', 'NH4t3r', 'NH4t3r_Neuron']"
349565,"['NMNATm', 'NMNATm_Neuron', 'NNATm_Neuron', 'NNATm']"
56953,"['NTD2m', 'NTD5m', 'NTD1m_Neuron', 'NTD5m_Neuron', 'NTD1m', 'NTD2m_Neuron']"
477,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
481,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
480,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
476,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
482,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
478,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
483,"['NaKt_Int', 'NaKt_Neuron', 'NaKt']"
5019,"['OCOAT1m', 'OCOAT1m_Neuron']"
1629,"['OIVD3m', 'OIVD2m_Neuron', 'OIVD1m_Neuron', 'OIVD1m', 'OIVD2m', 'OIVD3m_Neuron']"
594?,"['OIVD3m', 'OIVD2m_Neuron', 'OIVD1m_Neuron', 'OIVD1m', 'OIVD2m', 'OIVD3m_Neuron']"
593,"['OIVD3m', 'OIVD2m_Neuron', 'OIVD1m_Neuron', 'OIVD1m', 'OIVD2m', 'OIVD3m_Neuron']"
4942,"['ORNTArm', 'ORNTArm_Neuron']"
1583,"['P45011A1m', 'P45011A1m_Neuron']"
57194,"['PSFLIPm_Neuron', 'PEFLIPm_Neuron', 'PEFLIP_Int', 'PSFLIP_Neuron', 'PSFLIP_Int', 'PCFLOPm', 'PSFLIPm', 'PSFLIP', 'PEFLIP_Neuron', 'PEFLIP', 'PEFLIPm', 'PCFLOPm_Neuron']"
5091,['PCm']
5162,"['PDHm', 'PDHm_Neuron']"
5161,"['PDHm', 'PDHm_Neuron']"
1737,"['PDHm', 'PDHm_Neuron']"
5160,"['PDHm', 'PDHm_Neuron']"
10396,"['PSFLIPm_Neuron', 'PEFLIPm_Neuron', 'PSFLIP_Neuron', 'PSFLIP_Int', 'PSFLIPm', 'PEFLIP_Neuron', 'PSFLIP', 'PEFLIP', 'PEFLIPm', 'PEFLIP_Int']"
10400,"['PETOHMm_hs', 'PETOHMm_hs_Neuron']"
5214,"['PFK', 'PFK_Neuron']"
5211,"['PFK', 'PFK_Neuron']"
5213,"['PFK', 'PFK_Neuron']"
26227,['PGCD']
2821,"['PGI', 'PGI_Neuron']"
5232,"['PGK', 'PGK_Neuron']"
5230,"['PGK', 'PGK_Neuron']"
348477,"['PGK', 'PGK_Neuron']"
25796,"['PGL_Neuron', 'PGL']"
5250,"['PIt2m_Neuron', 'PIt2m']"
10568,"['PIt7_Int', 'PIt7_Neuron', 'PIt7']"
6569,"['PIt7_Int', 'PIt7_Neuron', 'PIt7']"
80025,"['PNTKm', 'PNTKm_Neuron']"
5464,"['PPA', 'PPA_Neuron']"
27068,"['PPAm_Neuron', 'PPAm']"
210,"['PPBNGS_Neuron', 'PPBNGS']"
5095,"['PPCOACm', 'PPCOACm_Neuron']"
5096,"['PPCOACm', 'PPCOACm_Neuron']"
5498,"['PPPGOm', 'PPPGOm_Neuron']"
5625,"['PRO1xm_Neuron', 'PROD2m_Neuron', 'PRO1xm', 'PROD2m']"
29968,['PSERT']
5723,['PSP_L']
5315,"['PYK', 'PYK_Neuron']"
6120,"['RPE', 'RPE_Neuron']"
22934,"['RPI', 'RPI_Neuron']"
10157,"['SACCD3m', 'SACCD4m', 'SACCD4m_Neuron', 'SACCD3m_Neuron']"
1757,"['SARDHm', 'SARDHm_Neuron']"
115019,"['SO4HCOtex', 'SO4HCOtex_Int']"
10861,"['SO4HCOtex', 'SO4HCOtex_Int']"
116369,"['SO4HCOtex', 'SO4HCOtex_Int']"
284129,"['SO4HCOtex', 'SO4HCOtex_Int']"
6648,"['SPODMm', 'SPODMm_Neuron']"
6390,"['SUCD1m', 'SUCD1m_Neuron']"
6389,"['SUCD1m', 'SUCD1m_Neuron']"
6391,"['SUCD1m', 'SUCD1m_Neuron']"
6392?,"['SUCD1m', 'SUCD1m_Neuron']"
6821,"['SULFOX', 'SULFOX_Neuron']"
6888,"['TALA_Neuron', 'TALA']"
23530,"['THD1m_Neuron', 'THD1m']"
3177,"['URIt', 'THYMDt1', 'THYMDt1_Int', 'URIt_Neuron', 'THYMDt1_Neuron', 'URIt_Int']"
8277,"['TKT1', 'TKT2', 'TKT2_Neuron', 'TKT1_Neuron']"
7086,"['TKT1', 'TKT2', 'TKT2_Neuron', 'TKT1_Neuron']"
286016,"['TPI', 'TPI_Neuron']"
7167,"['TPI', 'TPI_Neuron']"
10587,"['TRDRm_Neuron', 'TRDRm']"
7390,"['UPP3S', 'UPP3S_Neuron']"
7389,"['UPPDC1_Neuron', 'UPPDC1']"
1593,"['VITD3Hm', 'VITD2Hm', 'VITD3Hm_Neuron', 'VITD2Hm_Neuron']"
10201,"['NDPK1_Neuron', 'NDPK1']"
4831,"['NDPK1_Neuron', 'NDPK1']"
4830,"['NDPK1_Neuron', 'NDPK1']"
4832,"['NDPK1_Neuron', 'NDPK1']"
2992,"['GLGNS1', 'GGNG_Neuron', 'GGNG', 'GLGNS1_Neuron']"
2997?,"['GLGNS1', 'GGNG_Neuron', 'GGNG', 'GLGNS1_Neuron']"
8908,"['GLGNS1', 'GGNG_Neuron', 'GGNG', 'GLGNS1_Neuron']"
2998?,"['GLGNS1', 'GGNG_Neuron', 'GGNG', 'GLGNS1_Neuron']"
2632?,"['GLBRAN', 'GLBRAN_Neuron']"
5837,"['GLPASE1', 'GLPASE2']"
5834,"['GLPASE1', 'GLPASE2']"
5836,"['GLPASE1', 'GLPASE2']"
178,"['GLDBRAN_Neuron', 'GLDBRAN']"
6563,"['UREAt_Int', 'UREAt_Neuron', 'UREAt']"
8170,"['UREAt_Int', 'UREAt_Neuron', 'UREAt']"
92745,"['GLNtN1', 'ALAtN1', 'GLNtN1_Neuron', 'GLNtN1_Int', 'ALAtN1_Int', 'ALAtN1_Neuron']"
10991,"['GLNtN1', 'ALAtN1', 'GLNtN1_Neuron', 'GLNtN1_Int', 'ALAtN1_Int', 'ALAtN1_Neuron']"
1152,"['CKc', 'CKc_Neuron']"
1158,"['CKc', 'CKc_Neuron']"
84706,"['ALATA_Lm', 'ALATA_L_Neuron', 'ALATA_Lm_Neuron', 'ALATA_L']"
2875,"['ALATA_Lm_Neuron', 'ALATA_Lm']"
23761,"['PSDm_hs', 'PSDm_hs_Neuron']"
10873,['ME2m_Neuron']
4200,['ME2m_Neuron']
3786,['Kt_Neuron']
3785,['Kt_Neuron']
5105,['PEPCK_Neuron']
