ID,Sensitivity,Flux,Node type,total
NH4t3r_Neuron,1.5185976017853245e-16,0.2551643238024936,Neuron,0.25516432380249376
NH3tm_Neuron,4.745617505579138e-17,0.2551643238024936,Neuron,0.25516432380249365
NH4t3r_Int,2.8450946632094066e-32,0.2551643238024936,Astrocyte,0.2551643238024936
GLNtN1_Neuron,2.2778964026779867e-16,0.2551643238024872,Neuron,0.25516432380248744
GLNS,1.138948201338993e-16,0.2551643238024872,Astrocyte,0.2551643238024873
GLNtN1_Int,3.3219322539053994e-17,0.2551643238024872,Astrocyte,0.25516432380248727
GLUNm_Neuron,7.59298800892662e-17,0.2551643238024872,Neuron,0.25516432380248727
GLNtm_Neuron,0,0.2551643238024872,Neuron,0.2551643238024872
GLUt6_Int,2.8450946632094066e-32,0.2551643238024872,Astrocyte,0.2551643238024872
GLUVESSEC_Neuron,0,0.2551643238024872,Neuron,0.2551643238024872
GLUt2m_Neuron,2.847370503347483e-17,0.25516432380248066,Neuron,0.2551643238024807
GTHOm,0.2545083847575647,0,Astrocyte,0.2545083847575647
P45011A1m,0.25450838475756404,0,Astrocyte,0.25450838475756404
"1a,24,25VITD2Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,24,25VITD3Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,25VITD2Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
"1a,25VITD3Hm",0.25450838475756393,0,Astrocyte,0.25450838475756393
FPGS8m,0.2545083847575631,0,Astrocyte,0.2545083847575631
ASPGLUm,0.2468311908770477,0,Astrocyte,0.2468311908770477
ADPRDPm_Neuron,0.2468311908770466,0,Neuron,0.2468311908770466
APOCFm_Neuron,0.24683119087704614,0,Neuron,0.24683119087704614
DTKm_Neuron,0.24683119087704608,0,Neuron,0.24683119087704608
DAKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
DCKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
DGKm_Neuron,0.2468311908770458,0,Neuron,0.2468311908770458
SSALxm,0.24074095757367892,0,Astrocyte,0.24074095757367892
ENO_Neuron,7.59298800892662e-17,0.23761354497840462,Neuron,0.2376135449784047
GAPD_Neuron,9.016673260600362e-17,0.23761354497840462,Neuron,0.2376135449784047
PGK_Neuron,5.694741006694966e-17,0.23761354497840462,Neuron,0.23761354497840467
PGM_Neuron,0,0.23761354497840462,Neuron,0.23761354497840462
PYK_Neuron,0,0.23761354497840462,Neuron,0.23761354497840462
L-LACtm,0.23163182080421377,0,Astrocyte,0.23163182080421377
ALDD2xm,0.23163182080421363,0,Astrocyte,0.23163182080421363
AKGDm,0.22982072105350101,0,Astrocyte,0.22982072105350101
HEX1,1.7084223020084897e-16,0.2275047612364218,Astrocyte,0.22750476123642197
PFK,1.7084223020084897e-16,0.2275047612364218,Astrocyte,0.22750476123642197
FBA,0,0.2275047612364218,Astrocyte,0.2275047612364218
PGI,0,0.2275047612364218,Astrocyte,0.2275047612364218
TPI,0,0.2275047612364218,Astrocyte,0.2275047612364218
LacLtm,0.2151506028648214,0,Astrocyte,0.2151506028648214
PCm,0.21279607091181432,0,Astrocyte,0.21279607091181432
DM_for,0.20701672498017332,0,Terminal,0.20701672498017332
PPAm,0.20701672498017287,0,Astrocyte,0.20701672498017287
