ID,gene,cell
ACOAD9mNeuron,27034,Neuron
ACOAD9mNeuron,34,Neuron
ACOAD9mNeuron,27034,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,48,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,50,Neuron
ACONTmNeuron,48,Neuron
ACONTmNeuron,3658,Neuron
ACONTmNeuron,50,Neuron
ACRNtmNeuron,788,Neuron
ACRNtmNeuron,788,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,160728,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,6818,Neuron
ACSmNeuron,84532,Neuron
ACSmNeuron,65985,Neuron
ACSmNeuron,55902,Neuron
ACSmNeuron,55902,Neuron
ACSmNeuron,438,Neuron
ACSmNeuron,160728,Neuron
ACSmNeuron,84532,Neuron
ACt2mNeuron,6566,Neuron
ACt2mNeuron,6566,Neuron
ADCimNeuron,,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,205,Neuron
ADK1Neuron,204,Neuron
ADK1Neuron,26289,Neuron
ADK1Neuron,26289,Neuron
ADK1Neuron,122481,Neuron
ADK1Neuron,203,Neuron
ADK1Neuron,203,Neuron
ADK1Neuron,26289,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK1mNeuron,26289,Neuron
ADK1mNeuron,26289,Neuron
ADK1mNeuron,122481,Neuron
ADK1mNeuron,203,Neuron
ADK1mNeuron,205,Neuron
ADK1mNeuron,204,Neuron
ADK3mNeuron,26289,Neuron
ADK3mNeuron,26289,Neuron
ADK3mNeuron,50808,Neuron
ADK3mNeuron,205,Neuron
ADK3mNeuron,50808,Neuron
ADK3mNeuron,50808,Neuron
ADK3mNeuron,205,Neuron
ADK3mNeuron,50808,Neuron
ADPRDPmNeuron,11164,Neuron
ADPRDPmNeuron,53343,Neuron
AGMTmNeuron,79814,Neuron
AGMTmNeuron,79814,Neuron
AGPRimNeuron,5832,Neuron
AGTimNeuron,64902,Neuron
AGTimNeuron,64850,Neuron
AGTimNeuron,64850,Neuron
AKGDmNeuron,4967,Neuron
AKGDmNeuron,1738,Neuron
AKGDmNeuron,4967,Neuron
AKGDmNeuron,1743,Neuron
AKGDmNeuron,8050,Neuron
AKGDmNeuron,8050,Neuron
AKGDmNeuron,1738,Neuron
AKGDmNeuron,4967,Neuron
AKGDmNeuron,1743,Neuron
AKGMALtmNeuron,1468,Neuron
AKGMALtmNeuron,8402,Neuron
AKGMALtmNeuron,8402,Neuron
ALASmNeuron,212,Neuron
ALASmNeuron,23464,Neuron
ALASmNeuron,211,Neuron
ALASmNeuron,211,Neuron
ALASmNeuron,23464,Neuron
ALASmNeuron,211,Neuron
ALCD2ifNeuron,124,Neuron
ALCD2ifNeuron,126,Neuron
ALCD2ifNeuron,130,Neuron
ALCD2ifNeuron,127,Neuron
ALCD2ifNeuron,131,Neuron
ALCD2ifNeuron,128,Neuron
ALCD2ifNeuron,137872,Neuron
ALCD2ifNeuron,125,Neuron
ALCD2ifNeuron,284273,Neuron
ALCD2ifNeuron,284273,Neuron
ALCD2ifNeuron,126,Neuron
ALCD2ifNeuron,124,Neuron
ALCD2ifNeuron,128,Neuron
ALCD2ifNeuron,284273,Neuron
ALCD2ifNeuron,137872,Neuron
ALCD2yfNeuron,10327,Neuron
ALCD2yfNeuron,10327,Neuron
ALCD2yfNeuron,10327,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,8854,Neuron
ALDD20xmNeuron,8854,Neuron
ALDD20xmNeuron,501,Neuron
ALDD20xmNeuron,224,Neuron
ALDD20xmNeuron,223,Neuron
ALDD20xmNeuron,8854,Neuron
ALDD20xmNeuron,216,Neuron
ALDD20xmNeuron,219,Neuron
ALDD20xmNeuron,217,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,219,Neuron
ALDD20xmNeuron,217,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,219,Neuron
ALDD20xmNeuron,217,Neuron
ALDD20xmNeuron,8659,Neuron
ALDD20xmNeuron,219,Neuron
ALDD20xmNeuron,217,Neuron
ALDD2xNeuron,221,Neuron
ALDD2xNeuron,220,Neuron
ALDD2xNeuron,218,Neuron
ALDD2xNeuron,222,Neuron
ALDD2xNeuron,8854,Neuron
ALDD2xNeuron,8854,Neuron
ALDD2xNeuron,501,Neuron
ALDD2xNeuron,224,Neuron
ALDD2xNeuron,223,Neuron
ALDD2xNeuron,8854,Neuron
ALDD2xNeuron,216,Neuron
ALDD2xNeuron,219,Neuron
ALDD2xNeuron,217,Neuron
ALDD2xNeuron,223,Neuron
ALDD2xNeuron,224,Neuron
ALDD2xNeuron,501,Neuron
ALDD2xNeuron,8854,Neuron
ALDD2xNeuron,220,Neuron
ALDD2xNeuron,216,Neuron
ALDD2xmNeuron,219,Neuron
ALDD2xmNeuron,217,Neuron
ALDD2xmNeuron,219,Neuron
ALDD2xmNeuron,217,Neuron
ALDD2xmNeuron,221,Neuron
ALDD2xmNeuron,220,Neuron
ALDD2xmNeuron,218,Neuron
ALDD2xmNeuron,222,Neuron
ALDD2xmNeuron,8854,Neuron
ALDD2xmNeuron,8854,Neuron
ALDD2xmNeuron,501,Neuron
ALDD2xmNeuron,224,Neuron
ALDD2xmNeuron,223,Neuron
ALDD2xmNeuron,8854,Neuron
ALDD2xmNeuron,216,Neuron
ALDD2xmNeuron,219,Neuron
ALDD2xmNeuron,217,Neuron
ALDD2xmNeuron,219,Neuron
