,ID,cell,AbsoluteOP,mean_shift_clusters
121,L-LACt2r_Int,Astrocyte,3.907277918803482,1
122,NH4t3r_Int,Astrocyte,2.944318317352816,1
123,NaKt_Int,Astrocyte,2.2516401754363784,1
124,O2St_Int,Astrocyte,0.0499747993755401,0
125,O2t_Int,Astrocyte,7.018187858667144,2
126,ORNtiDF_Int,Astrocyte,0.6009177399844877,0
127,PEFLIP_Int,Astrocyte,1.1887578226044773,0
128,PPAt_Int,Astrocyte,5.862210223487413,2
129,PSFLIP_Int,Astrocyte,1.1887578226044773,0
130,PYRt2r_Int,Astrocyte,2.6517955338022734,1
131,SERGLNexR_Int,Astrocyte,2.1076495206921666,1
132,SERGLYexR_Int,Astrocyte,0.0083299759164573,0
133,SERt4_Int,Astrocyte,0.4169727001482547,0
134,GLNtN1_Int,Astrocyte,2.9479465135204386,1
135,ALAtN1_Int,Astrocyte,0.01665980733617,0
136,ALDH1L1,Astrocyte,4.09767714937975,1
