,ID,cell,AbsoluteC,mean_shift_clusters
108,BACCLmNeuron,Neuron,0.4783186064657207,1
109,BALAVECSECNeuron,Neuron,0.0745008092875005,2
110,BALAtmrNeuron,Neuron,0.0035854127188166,0
111,BAMPPALDOXmNeuron,Neuron,0.5267374300670143,1
112,BDHmNeuron,Neuron,0.4601952827590733,1
113,BETALDHxmNeuron,Neuron,0.5243850387860888,1
114,BHBtNeuron,Neuron,0.1225719803183141,2
115,BHBtmNeuron,Neuron,0.5515786244364449,1
116,BTNDmNeuron,Neuron,0.1303393410347541,2
117,BTNPLmNeuron,Neuron,0.4539844809695939,1
118,BTNt2Neuron,Neuron,0.122571980318308,2
119,BTNt2mNeuron,Neuron,0.5585522084935665,1
120,BTNt4iNeuron,Neuron,0.1225719803183098,2
121,C160CPT2Neuron,Neuron,0.0217474107658651,0
122,C160CRNtNeuron,Neuron,0.0154313743912866,0
123,C204CPT2Neuron,Neuron,0.0073771293768728,0
124,C226CPT2Neuron,Neuron,0.0073771293768722,0
125,C2M26DCOAHLmNeuron,Neuron,0.1251325320246812,2
126,CATmNeuron,Neuron,0.1357805560740891,2
127,CBLATmNeuron,Neuron,0.4642103505740949,1
128,CDPDAGtmNeuron,Neuron,0.0148393347380911,0
129,CDSmNeuron,Neuron,0.4532893795124634,1
130,CHSTEROLt3Neuron,Neuron,0.0567662866534177,0
131,CITRtmNeuron,Neuron,0.0148467618967524,0
132,CITtamNeuron,Neuron,0.0005474433902331146,0
133,CITtbmNeuron,Neuron,0.0010785207710055,0
134,CKNeuron,Neuron,0.0298852516918402,0
135,CKcNeuron,Neuron,0.0152928249309243,0
136,CO2tNeuron,Neuron,0.0016697662279622,0
137,CO2tmNeuron,Neuron,0.0109131186571744,0
138,COQ3mNeuron,Neuron,0.4307889620297828,1
139,COQ5mNeuron,Neuron,0.4366176748984293,1
140,COQ6mNeuron,Neuron,0.1321775826731389,2
141,COQ7mNeuron,Neuron,0.5118069550176784,1
142,COUCOAFmNeuron,Neuron,0.0547495145425931,0
143,CPPPGONeuron,Neuron,0.0532309925448888,0
144,CREATtmdiffirNeuron,Neuron,0.0059594491961673,0
145,CRNtNeuron,Neuron,0.0018418653062118,0
146,CRNtimNeuron,Neuron,0.0213650722911658,0
147,CSNAT2mNeuron,Neuron,0.0106175624672994,0
148,CSNATmNeuron,Neuron,0.0217061821056759,0
149,CSmNeuron,Neuron,0.5522742417903036,1
150,CYANSTmNeuron,Neuron,0.4921500202703748,1
151,CYANtNeuron,Neuron,0.0072576253835791,0
152,CYANtmNeuron,Neuron,0.0393862634784025,0
153,CYSGLUexRNeuron,Neuron,0.0017634339391157,0
154,CYSGLYexRNeuron,Neuron,0.0014192718587408,0
155,CYSONeuron,Neuron,0.0474673303993297,0
156,CYSTAmNeuron,Neuron,0.0064327101478851,0
157,CYStecNeuron,Neuron,0.0011752317795023,0
158,CYTK1mNeuron,Neuron,0.0233521584805173,0
159,DLACt2Neuron,Neuron,0.1225719803182951,2
160,DLACtmNeuron,Neuron,0.5515786244364467,1
161,DAKmNeuron,Neuron,0.0010241338267597,0
162,DCKmNeuron,Neuron,0.0266263340342559,0
163,DDPGAmNeuron,Neuron,0.0010016847475126,0
164,DECDPtmNeuron,Neuron,0.059718098979138,0
165,DGKmNeuron,Neuron,0.0266263340342822,0
166,DGNSKmNeuron,Neuron,0.4798889006686931,1
167,DGSNtNeuron,Neuron,0.001534307154109,0
168,DGSNtmNeuron,Neuron,0.0318070719383777,0
169,DHDPBMTmNeuron,Neuron,0.4302135570979866,1
170,DHFtmNeuron,Neuron,0.0567682727894974,0
171,DPHMBDCmNeuron,Neuron,0.4611426145722085,1
172,DTKmNeuron,Neuron,0.0286119058339973,0
173,DURIK1mNeuron,Neuron,0.4633702875867896,1
174,DUTPDPmNeuron,Neuron,0.5179933131975151,1
175,ECOAH12mNeuron,Neuron,0.1253251535143692,2
176,ECOAH1mNeuron,Neuron,0.1218971360591738,2
177,ECOAH9mNeuron,Neuron,0.1325954554402252,2
178,EHGLAT2mNeuron,Neuron,0.0012679679830607,0
179,EHGLATmNeuron,Neuron,0.0114082949848436,0
180,ETFQONeuron,Neuron,0.0011271295064936,0
181,ETFNeuron,Neuron,0.0003230401245723235,0
182,ETOHMONeuron,Neuron,0.0501691542269993,0
183,ETOHtNeuron,Neuron,0.0019544501378339,0
184,FALDtmNeuron,Neuron,0.0570055876877276,0
185,FCLTmNeuron,Neuron,0.4412893489989284,1
186,FE2tmNeuron,Neuron,0.5525070304462122,1
187,FORt2mNeuron,Neuron,0.0571516040433363,0
188,FPGS2mNeuron,Neuron,0.5048025680518019,1
189,FPGS3mNeuron,Neuron,0.5053216685563765,1
190,FPGS4mNeuron,Neuron,0.5072150199065579,1
191,FPGS5mNeuron,Neuron,0.5034220679459231,1
192,FPGS6mNeuron,Neuron,0.5053216330515637,1
193,FPGS7mNeuron,Neuron,0.503773072167982,1
194,FPGS8mNeuron,Neuron,0.5048023920321436,1
195,FPGS9mNeuron,Neuron,0.505321668516317,1
196,FPGSmNeuron,Neuron,0.5129879256508241,1
197,FTHFLmNeuron,Neuron,0.0732642109818943,2
198,FUMSO3tmNeuron,Neuron,0.0006912835561458901,0
199,FUMSO4tmNeuron,Neuron,0.000876468234577927,0
200,FUMTSULtmNeuron,Neuron,0.0008082973659250801,0
201,FUMmNeuron,Neuron,0.1221025434896353,2
202,FUMtmNeuron,Neuron,0.0217047629430598,0
203,Fe2tNeuron,Neuron,0.0049720760043091,0
204,G5SDymNeuron,Neuron,0.4623423004169698,1
205,G6PDH2rNeuron,Neuron,0.0443003417472555,0
206,GCALDDmNeuron,Neuron,0.5243850387860819,1
207,GCC2amNeuron,Neuron,0.4659033547986096,1
208,GCC2bimNeuron,Neuron,0.0015742685607896,0
209,GCC2cmNeuron,Neuron,0.4593301886484682,1
210,GCCamNeuron,Neuron,0.4659033547986076,1
211,GCCbimNeuron,Neuron,0.0015742685607725,0
212,GCCcmNeuron,Neuron,0.4593301886484617,1
213,GGNGNeuron,Neuron,0.0441676712418803,0
214,GHMT2rmNeuron,Neuron,0.1518895614499526,2
215,GHMT3mNeuron,Neuron,0.4401974255146896,1
216,GLACOmNeuron,Neuron,0.5243850387860801,1
217,GLBRANNeuron,Neuron,0.0149633449056953,0
218,GLCt1rNeuron,Neuron,0.0018303588482106,0
219,GLDBRANNeuron,Neuron,0.0055019171957892,0
220,GLGNS1Neuron,Neuron,0.0501824126791383,0
221,GLNtN1Neuron,Neuron,0.1453525915113692,2
222,GLNtmNeuron,Neuron,0.0023156353448447,0
223,GLU5KmNeuron,Neuron,0.0315695824978132,0
224,GLUDxmNeuron,Neuron,0.5442051420135177,1
225,GLUDymNeuron,Neuron,0.5208704024618742,1
226,GLUNmNeuron,Neuron,0.1827936158470065,2
227,GLUTCOADHmNeuron,Neuron,0.4775380509200306,1
228,GLUVESSECNeuron,Neuron,0.0753520723293823,2
229,GLUt2mNeuron,Neuron,0.5737057310410116,1
230,GLYATmNeuron,Neuron,0.0154626912732383,0
231,GLYCLTDymNeuron,Neuron,0.4316727078653133,1
232,GLYCtNeuron,Neuron,0.0072847224158954,0
233,GLYCtmNeuron,Neuron,0.0393902332436344,0
234,GLYKmNeuron,Neuron,0.4817047398325612,1
235,GLYOXmNeuron,Neuron,0.5041037569907038,1
236,GLYtmNeuron,Neuron,0.0015834397818263,0
237,GNDNeuron,Neuron,0.0066612438806688,0
238,GTHOmNeuron,Neuron,0.4365562340247903,1
239,GTHPmNeuron,Neuron,0.1215857399683611,2
240,H2CO3DmNeuron,Neuron,0.1697127836529883,2
241,H2O2tNeuron,Neuron,0.0018506089270431,0
242,H2O2tmNeuron,Neuron,0.00037260234519199335,0
243,H2OtNeuron,Neuron,0.0024159524927181,0
244,H2OtmNeuron,Neuron,0.1606687477531932,2
245,HACD1mNeuron,Neuron,0.4671569053514856,1
246,HACD9mNeuron,Neuron,0.4664719087961588,1
247,HBZOPT10mNeuron,Neuron,0.0637862718146786,0
248,HCO3EmNeuron,Neuron,0.535373347951096,1
249,HIBDmNeuron,Neuron,0.4606700126035911,1
250,HMBSNeuron,Neuron,0.00259523170592,0
251,HMGCOASimNeuron,Neuron,0.5493468356046525,1
252,HMGLmNeuron,Neuron,0.0022890741517525,0
253,HPROxmNeuron,Neuron,0.4593772769268008,1
254,HtNeuron,Neuron,0.1225719803183108,2
255,HtmNeuron,Neuron,0.5404670504371955,1
256,HtrnsEXNeuron,Neuron,0.1257420982904893,2
257,ICDHxmNeuron,Neuron,0.088390401671312,2
258,ICDHyrmNeuron,Neuron,0.0478826089585733,0
259,ILETANeuron,Neuron,0.0095216357093045,0
260,ILETAmNeuron,Neuron,0.0084587817321006,0
261,ILEt5mNeuron,Neuron,0.0013138447814478,0
262,ILEtecNeuron,Neuron,0.0006971477353790742,0
263,IMACTDmNeuron,Neuron,0.5243850387860873,1
264,ITCOAL1mNeuron,Neuron,0.0340376671951566,0
265,ITCOALmNeuron,Neuron,0.0572799924359081,0
266,Kt1rNeuron,Neuron,0.0021677209426393,0
267,KtNeuron,Neuron,0.0021677209430717,0
268,LLACt2rNeuron,Neuron,0.1225719803183335,2
269,LLACtmNeuron,Neuron,0.5404670504371986,1
270,LCADiDmNeuron,Neuron,0.5243850387860871,1
271,LCADimNeuron,Neuron,0.5243850387860874,1
272,LCYSTATmNeuron,Neuron,0.0084926688992189,0
273,LDHLNeuron,Neuron,0.0443169181198739,0
274,LDHLmNeuron,Neuron,0.4672706806206025,1
275,LEUTANeuron,Neuron,0.0095215319415025,0
